attached_links_url,attached_medias_url,attached_videos,author_id,author_username,community_notes,conversation_id,created_time,favorite_count,geo_lat,geo_lon,id,in_reply_to_post_id,in_reply_to_profile_id,in_reply_to_profile_username,place_country_code,place_country_name,place_full_name,place_type,post_type,quote_count,quoted_status_id,quoted_status_profile_username,reply_count,retweet_count,source,text,text_lang,text_tagged_users,text_tags,timestamp,view_count,term,sentiment,tone,tweet_insert_timestamp
,https://pbs.twimg.com/media/F_SL6ihXkAAIJWt.jpg--|--https://pbs.twimg.com/media/F_SL6iiWMAA6E4k.jpg--|--https://pbs.twimg.com/media/F_SL6iiXUAAuJo8.jpg--|--https://pbs.twimg.com/media/F_SL6ijXMAAtM1f.jpg,,996143635,fkeyamo,,1726158514656088134,2023-11-19T08:40:35,555,,,1726158514656088134,,,,,,,,post,16,,,254,133,,"For the better part of last week, I attended the Dubai Airshow in Dubai, UAE, which is a biennial airshow that brings together most of the industry’s professionals, experts, leaders and business people connected with Aviation around the world. 

I visited pavilions of leading… https://t.co/blh1sWF6D0",en,,,1700383235,52313,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,https://pbs.twimg.com/media/F_Ssf-3W4AASq5P.jpg--|--https://pbs.twimg.com/media/F_Ssgj5WQAA6njp.jpg--|--https://pbs.twimg.com/media/F_SshQAWoAAjYIl.jpg--|--https://pbs.twimg.com/media/F_SshbaXYAAwkHG.jpg,,81119137,gbengasaka,,1726194257910776239,2023-11-19T11:02:36,51,,,1726194257910776239,,,,,,,,post,0,,,4,23,,"Summary:

Honorable Minister of Aviation and Aerospace Development, @fkeyamo, recently attended the 2023 Dubai Airshow, where he explored cutting-edge technologies to drive his 5-Point Agenda for Nigeria's aviation industry. During the event, he engaged with leading industry… https://t.co/hYVtwhpORN",en,fkeyamo,,1700391756,7950,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
https://fastercapital.com/news/all-encompassing-entertainment-eco-world-honey-token-joins-fastercapitals-acceleration-program.html,https://video.twimg.com/ext_tw_video/1726298509480280064/pu/vid/avc1/1280x720/3EqMYE8xO_DLTCN8.mp4?tag=12,https://video.twimg.com/ext_tw_video/1726298509480280064/pu/vid/avc1/1280x720/3EqMYE8xO_DLTCN8.mp4?tag=12,1409942665819418626,HoneyToken1,,1726298541348556969,2023-11-19T17:56:59,237,,,1726298541348556969,,,,,,,,post,0,,,10,32,,"BIG NEWS! 🚀🚀🚀🚀

We are the future of Streaming Platform, where ""We Pay You To Watch"".  We are looking to raise funds and are working with @FasterCapital out of Dubai.  If you are interested we would love to discuss the future of the Entertainment Industry.… https://t.co/MKjsL8SM1I",en,FasterCapital,,1700416619,268696,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,,,1688893669171220480,VTN_Kayo,,1726422667434279241,2023-11-20T02:10:13,51,,,1726422667434279241,,,,,,,,post,0,,,49,0,,"✍️Indian crypto companies are increasingly looking to expand to Dubai due to high local taxes and a more favorable regulatory environment. Dubai's efforts to become a crypto hub have attracted significant interest from the Indian crypto industry.

✍️The financial ties between…",en,,,1700446213,588,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,https://video.twimg.com/ext_tw_video/1726319353967063040/pu/vid/avc1/1280x720/ujsD42XB8ccPeFgN.mp4?tag=12,https://video.twimg.com/ext_tw_video/1726319353967063040/pu/vid/avc1/1280x720/ujsD42XB8ccPeFgN.mp4?tag=12,741838431160934400,OrientInsurance,,1726450292865319009,2023-11-20T04:00:00,0,,,1726450292865319009,,,,,,,,post,0,,,0,0,,"Orient Insurance, an Al-Futtaim Group Company, hosted the largest Broker Event on Nov 17, 2023, Festival Arena, Dubai Festival City.  With top industry officials & delegates, the event highlighted our strong partnerships with brokers, the pillars of our success. #OrientInsurance https://t.co/WjS26xo6K6",en,,orientinsurance,1700452800,32,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
https://bit.ly/2024InvestmentProjects--|--https://www.ecommercenet.co.uk/2023/11/investing-in-swc-capital-comprehensive.html,,,3293752317,webstraseo,,1726457163928023138,2023-11-20T04:27:18,2,,,1726457163928023138,,,,,,,,quote,0,1726149504418668596,seodiger,0,2,,"Introducing Skyway Capital Investment
#INVESTING #Transportation #money #UAE #Dubai🚄 ✈️🚠 Learn what is SWC Capital https://t.co/k6d4knLDs7 and how to invest in the Transportation Industry 👇https://t.co/tezvbr4EUv",en,,dubai--|--investing--|--money--|--transportation--|--uae,1700454438,52,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,https://pbs.twimg.com/media/F_W3E6FaQAAKgUF.jpg--|--https://pbs.twimg.com/media/F_W3EjNbMAAHOwF.jpg--|--https://pbs.twimg.com/media/F_W3EqZbgAAQ9x5.jpg--|--https://pbs.twimg.com/media/F_W3Ey7bgAAO_-l.jpg,,4333341673,menaspeakers,,1726487328884134363,2023-11-20T06:27:10,2,,,1726487328884134363,,,,,,,,post,0,,,1,1,,"Step into innovation at The Start-up Salon!

Join us on November 23rd from 5-8 PM at Du Business' exclusive pop-up workspace, 'Work Getaway,' nestled on Sunrise Beach in Dubai.

Meet the industry experts, glean insights, and snag a free consultation for all your start-up queries. https://t.co/Vr3ENjHDBX",en,,,1700461630,108,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,https://video.twimg.com/ext_tw_video/1726495226095861760/pu/vid/avc1/1280x720/1d4Mz9AakYBpNM_x.mp4?tag=12,https://video.twimg.com/ext_tw_video/1726495226095861760/pu/vid/avc1/1280x720/1d4Mz9AakYBpNM_x.mp4?tag=12,1631178401787813889,pds_in_pvt_ltd,,1726496090223169645,2023-11-20T07:01:59,2,,,1726496090223169645,,,,,,,,post,0,,,0,0,,"Attended the Global Freight Summit in Dubai. Insightful discussions by industry leaders like Wozniak and Straubel. Collaborative atmosphere, anticipating transformative developments. Fruitful meetings with stalwarts and global partners. 
#GFS2023 #SupplyChain #TechVision https://t.co/ekTGj7KO6o",en,,gfs2023--|--supplychain--|--techvision,1700463719,38,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,https://video.twimg.com/amplify_video/1726516647287025664/vid/avc1/1920x1080/LRg6uB01Au79AI1E.mp4?tag=16,https://video.twimg.com/amplify_video/1726516647287025664/vid/avc1/1920x1080/LRg6uB01Au79AI1E.mp4?tag=16,1276177187322945541,Forbes_MENA_,,1726520383472324928,2023-11-20T08:38:31,3,,,1726520383472324928,,,,,,,,post,0,,,1,3,,"Amira Sajwani, Founder and CEO of PRYPCO, discusses how her Dubai-based startup is aiming to digitize the real estate industry under one umbrella.

#Forbes

@prypcocom @Amira_H_Sajwani @Layan_Aboshkier https://t.co/5Nrkvmpmbs",en,Amira_H_Sajwani--|--Layan_Aboshkier--|--prypcocom,forbes,1700469511,669,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
,https://video.twimg.com/ext_tw_video/1726525885879066624/pu/vid/avc1/720x1280/-Ys7ayCi91SK_ieb.mp4?tag=12,https://video.twimg.com/ext_tw_video/1726525885879066624/pu/vid/avc1/720x1280/-Ys7ayCi91SK_ieb.mp4?tag=12,624588188,ELREDubai,,1726526088359113033,2023-11-20T09:01:11,0,,,1726526088359113033,,,,,,,,post,0,,,0,0,,"Episode 29 of Property Talk from Louise’s Lounge, is titled “Elevating and Educating the Dubai Real Estate Industry” during which Louise welcomes founder of PROPOLOGI, Silvia Eldawi. TUNE IN AS WE GO LIVE TOMORROW. https://t.co/r30X0PjfXx",en,,,1700470871,36,dubai industry,unknown,unknown,2023-11-27 20:03:24.210106
